rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF02348,2.0,0.2720588235294118,0.32564102564102565,0.29569892473118287,0.5904761904761905,0.7076923076923077,0.6352941176470589,0.2938379475904357,0.6404775106446141,0.2720588235294118,0.32564102564102565,0.29569892473118287,0.5904761904761905,0.7076923076923077,0.6352941176470589,0.33959519291587603,0.33959519291587603,0.5,0.0,100.0,0.5,41.5,73.1,81.0,0.5
RF02266,2.0,0.5876923076923077,0.7493734335839599,0.6586073500967118,0.6376811594202898,0.7493734335839599,0.6888888888888889,0.6608673600919568,0.6888230639865319,0.5876923076923077,0.7493734335839599,0.6586073500967118,0.6376811594202898,0.7493734335839599,0.6888888888888889,0.0302815387921771,0.0302815387921771,0.5,0.0,100.0,0.0,48.0,74.4,81.0,0.0
RF03016,2.0,0.6764705882352942,0.5934687953555877,0.6306366047745358,0.7450980392156863,0.6595065312046444,0.6979442970822282,0.631457268743427,0.6990720035875184,0.6764705882352942,0.5934687953555877,0.6306366047745358,0.7450980392156863,0.6595065312046444,0.6979442970822282,0.06730769230769235,0.06730769230769235,0.5,0.0,100.0,0.5,24.5,43.3,48.0,0.0
RF02136,2.0,0.4986772486772487,0.6551638530287984,0.5652173913043479,0.6567489114658926,0.7701092353525323,0.7046121593291405,0.5697988300976227,0.7082070589145493,0.4986772486772487,0.6551638530287984,0.5652173913043479,0.6567489114658926,0.7701092353525323,0.7046121593291405,0.13939476802479261,0.13939476802479261,0.5,0.0,100.0,0.0,69.0,78.6,81.0,0.0
RF03160,2.0,0.4519230769230769,0.3746130030959752,0.4095238095238095,0.75,0.6857585139318885,0.7142857142857143,0.4047107991049651,0.7125294800097746,0.4519230769230769,0.3746130030959752,0.4095238095238095,0.75,0.6857585139318885,0.7142857142857143,0.3047619047619048,0.3047619047619048,0.5,0.5,100.0,1.0,9.5,9.9,10.0,0.5
RF01764,2.0,0.608974358974359,0.6727688787185355,0.6381461675579323,0.7763975155279503,0.7425629290617849,0.7587849910661109,0.6369751389007143,0.7575707226865493,0.608974358974359,0.6727688787185355,0.6381461675579323,0.7763975155279503,0.7425629290617849,0.7587849910661109,0.1206388235081785,0.1206388235081785,0.5,0.0,100.0,0.0,16.0,18.4,19.0,0.0
RF00233,2.0,0.46336206896551724,0.5185185185185185,0.4891041162227603,0.8148148148148149,0.7222222222222222,0.7637944066515494,0.48651926993110645,0.7648210079289137,0.46336206896551724,0.5185185185185185,0.4891041162227603,0.8148148148148149,0.7222222222222222,0.7637944066515494,0.27469029042878923,0.27469029042878923,0.5,0.0,100.0,0.0,30.0,45.2,49.0,0.5
RF00230,2.0,0.31006493506493504,0.42105263157894735,0.3559937727036845,0.7178571428571429,0.868421052631579,0.7806873977086743,0.35501387424657466,0.7856580139967597,0.31006493506493504,0.42105263157894735,0.3559937727036845,0.7178571428571429,0.868421052631579,0.7806873977086743,0.4246936250049898,0.4246936250049898,0.5,0.5,100.0,0.0,47.5,75.9,83.0,0.5
RF01831,2.0,0.657088122605364,0.7496807151979565,0.6967706622879037,0.8386243386243386,0.8186462324393359,0.827922077922078,0.6980450484685028,0.8272648189526364,0.657088122605364,0.7496807151979565,0.6967706622879037,0.8386243386243386,0.8186462324393359,0.827922077922078,0.13115141563417426,0.13115141563417426,1.0,0.5,100.0,0.0,47.0,62.2,66.0,0.0
RF01084,2.0,0.7368421052631579,0.865531914893617,0.7958303378864127,0.7785087719298245,0.9068085106382979,0.837673532347337,0.7977660120311929,0.8395813534286984,0.7368421052631579,0.865531914893617,0.7958303378864127,0.7785087719298245,0.9068085106382979,0.837673532347337,0.04184319446092427,0.04184319446092427,1.0,0.0,100.0,0.0,21.0,27.4,29.0,0.0
