truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
81,22,4,0.2716049382716049,0.4888888888888889,0.6363636363636364,0.14747474747474748
84,30,9,0.35714285714285715,0.75,0.8214285714285715,0.07142857142857151
72,18,5,0.25,0.6666666666666666,0.918918918918919,0.25225225225225234
64,12,0,0.1875,0.6666666666666667,0.8799999999999999,0.21333333333333315
35,7,0,0.2,0.5555555555555556,0.6250000000000001,0.06944444444444453
43,11,0,0.2558139534883721,0.5263157894736842,0.9565217391304348,0.43020594965675063
62,18,11,0.2903225806451613,0.8,0.9444444444444444,0.14444444444444438
77,22,0,0.2857142857142857,0.711111111111111,0.9767441860465117,0.26563307493540067
76,21,7,0.27631578947368424,0.7843137254901961,0.8936170212765957,0.10930329578639963
46,12,0,0.2608695652173913,0.4761904761904762,0.9166666666666666,0.4404761904761904
58,15,0,0.25862068965517243,0.9375,0.9375,0.0
58,11,0,0.1896551724137931,0.7857142857142858,0.8148148148148148,0.02910052910052896
61,16,5,0.26229508196721313,0.6842105263157896,0.9375,0.2532894736842104
35,6,0,0.17142857142857143,0.5714285714285715,0.923076923076923,0.3516483516483515
35,7,0,0.2,0.6666666666666666,1.0,0.33333333333333337
73,19,3,0.2602739726027397,0.7111111111111111,0.8888888888888888,0.1777777777777777
72,11,0,0.1527777777777778,0.6060606060606061,0.6896551724137931,0.08359456635318707
35,8,0,0.22857142857142856,0.3157894736842105,1.0,0.6842105263157895
93,29,10,0.3118279569892473,0.5660377358490567,0.8679245283018867,0.30188679245283
43,11,0,0.2558139534883721,0.4799999999999999,0.9166666666666666,0.4366666666666667
68,17,5,0.25,0.7804878048780487,0.9142857142857143,0.13379790940766556
70,16,0,0.22857142857142856,0.8,0.9411764705882353,0.14117647058823524
69,7,1,0.10144927536231885,0.46153846153846156,0.5217391304347825,0.06020066889632092
76,11,0,0.14473684210526316,0.5641025641025641,0.7096774193548387,0.14557485525227465
185,33,8,0.1783783783783784,0.29545454545454547,0.32432432432432434,0.028869778869778873
77,21,5,0.2727272727272727,0.888888888888889,0.975609756097561,0.086720867208672
73,22,5,0.3013698630136986,0.9523809523809523,0.9523809523809523,0.0
71,20,8,0.28169014084507044,0.7999999999999999,0.8205128205128205,0.02051282051282055
56,20,0,0.35714285714285715,0.975609756097561,0.975609756097561,0.0
48,5,0,0.10416666666666667,0.0,0.4210526315789473,0.4210526315789473
94,34,7,0.3617021276595745,0.9538461538461539,0.9850746268656716,0.0312284730195177
48,5,0,0.10416666666666667,0.0,0.4,0.4
94,30,6,0.3191489361702128,0.9180327868852459,0.9508196721311476,0.032786885245901676
76,14,0,0.18421052631578946,0.4210526315789474,0.9032258064516129,0.4821731748726655
42,8,0,0.19047619047619047,0.6956521739130436,0.9411764705882353,0.2455242966751917
76,20,0,0.2631578947368421,0.8333333333333333,0.9523809523809523,0.11904761904761907
76,10,0,0.13157894736842105,0.23529411764705882,0.3225806451612903,0.0872865275142315
41,12,4,0.2926829268292683,0.4,0.8571428571428571,0.4571428571428571
68,22,10,0.3235294117647059,0.9047619047619048,0.9545454545454546,0.04978354978354982
33,10,0,0.30303030303030304,0.8333333333333333,0.9090909090909091,0.0757575757575758
62,23,1,0.3709677419354839,0.6086956521739131,0.8205128205128205,0.2118171683389074
146,28,0,0.1917808219178082,0.53125,0.6885245901639345,0.15727459016393452
91,24,0,0.26373626373626374,0.26415094339622647,0.4,0.13584905660377355
74,5,0,0.06756756756756757,0.30303030303030304,0.4,0.09696969696969698
89,21,1,0.23595505617977527,0.5333333333333333,0.6,0.06666666666666665
242,16,0,0.06611570247933884,0.16494845360824742,0.20224719101123595,0.03729873740298853
75,19,0,0.25333333333333335,0.8085106382978724,0.9268292682926829,0.11831862999481046
71,22,11,0.30985915492957744,0.5957446808510639,0.8936170212765958,0.2978723404255319
84,23,1,0.27380952380952384,0.8085106382978724,0.9130434782608695,0.10453283996299712
70,24,5,0.34285714285714286,0.8846153846153847,0.9787234042553191,0.09410801963993443
78,13,0,0.16666666666666666,0.2105263157894737,0.7428571428571429,0.5323308270676692
72,14,0,0.19444444444444445,0.5454545454545454,0.742857142857143,0.19740259740259758
112,30,0,0.26785714285714285,0.923076923076923,0.967741935483871,0.04466501240694798
73,15,0,0.2054794520547945,0.2580645161290323,0.8000000000000002,0.5419354838709678
41,5,0,0.12195121951219512,0.7272727272727272,0.9090909090909091,0.18181818181818188
42,5,0,0.11904761904761904,0.7272727272727272,0.9090909090909091,0.18181818181818188
67,19,5,0.2835820895522388,0.5853658536585366,0.918918918918919,0.3335530652603824
40,5,0,0.125,0.7499999999999999,0.888888888888889,0.13888888888888906
72,21,5,0.2916666666666667,0.56,0.7,0.1399999999999999
75,14,0,0.18666666666666668,0.7777777777777778,0.8,0.022222222222222254
46,10,0,0.21739130434782608,0.1818181818181818,0.631578947368421,0.44976076555023925
46,11,0,0.2391304347826087,0.17391304347826086,0.6,0.4260869565217391
30,8,0,0.26666666666666666,0.823529411764706,0.9333333333333333,0.1098039215686274
51,11,0,0.21568627450980393,0.34782608695652173,0.8695652173913043,0.5217391304347826
77,12,0,0.15584415584415584,0.7499999999999999,0.8,0.050000000000000155
48,17,0,0.3541666666666667,0.9444444444444444,1.0,0.05555555555555558
52,9,0,0.17307692307692307,0.8181818181818181,0.9473684210526316,0.12918660287081352
369,80,6,0.21680216802168023,0.5076142131979695,0.5402298850574714,0.03261567185950187
341,56,2,0.16422287390029325,0.47953216374269,0.49624060150375937,0.016708437761069395
72,6,0,0.08333333333333333,0.25,0.4444444444444445,0.19444444444444448
69,13,0,0.18840579710144928,0.5806451612903226,0.896551724137931,0.31590656284760843
176,37,0,0.21022727272727273,0.4634146341463415,0.6086956521739131,0.1452810180275716
97,16,0,0.16494845360824742,0.3404255319148936,0.5454545454545454,0.2050290135396518
67,6,0,0.08955223880597014,0.0,0.5555555555555556,0.5555555555555556
46,12,0,0.2608695652173913,0.888888888888889,0.923076923076923,0.03418803418803407
99,32,0,0.32323232323232326,0.9411764705882353,0.9846153846153847,0.04343891402714939
35,11,0,0.3142857142857143,0.9565217391304348,1.0,0.04347826086956519
76,20,0,0.2631578947368421,0.9090909090909091,1.0,0.09090909090909094
105,32,1,0.3047619047619048,0.7301587301587302,0.8125,0.08234126984126977
79,28,6,0.35443037974683544,0.7999999999999999,0.9642857142857143,0.16428571428571437
38,13,0,0.34210526315789475,0.962962962962963,1.0,0.03703703703703698
45,9,0,0.2,0.7999999999999999,0.9411764705882353,0.14117647058823535
194,19,3,0.0979381443298969,0.3835616438356165,0.45614035087719296,0.07257870704157648
190,25,12,0.13157894736842105,0.4722222222222222,0.5128205128205128,0.040598290598290565
60,18,2,0.3,0.7999999999999999,0.9142857142857143,0.11428571428571432
35,9,0,0.2571428571428571,0.7368421052631577,1.0,0.26315789473684226
106,31,1,0.29245283018867924,0.18461538461538463,0.7868852459016393,0.6022698612862547
37,11,0,0.2972972972972973,0.9090909090909091,0.9565217391304348,0.04743083003952575
94,27,0,0.2872340425531915,0.870967741935484,0.9310344827586207,0.06006674082313668
30,7,5,0.23333333333333334,0.8333333333333333,0.8333333333333333,0.0
38,8,0,0.21052631578947367,0.888888888888889,1.0,0.11111111111111105
35,6,0,0.17142857142857143,0.923076923076923,0.923076923076923,0.0
36,7,0,0.19444444444444445,0.0,0.923076923076923,0.923076923076923
47,9,3,0.19148936170212766,0.0,0.3636363636363637,0.3636363636363637
73,6,0,0.0821917808219178,0.42857142857142855,0.5,0.07142857142857145
72,9,0,0.125,0.5625,0.6428571428571429,0.0803571428571429
74,11,0,0.14864864864864866,0.5789473684210525,0.7096774193548387,0.1307300509337862
190,57,28,0.3,0.4406779661016949,0.5,0.05932203389830509
76,21,5,0.27631578947368424,0.8333333333333334,0.9523809523809523,0.11904761904761896
30,13,0,0.43333333333333335,0.9600000000000001,1.0,0.039999999999999925
75,16,0,0.21333333333333335,0.6956521739130436,0.888888888888889,0.19323671497584538
77,19,0,0.24675324675324675,0.8636363636363636,0.9500000000000001,0.08636363636363642
163,56,13,0.34355828220858897,0.2727272727272727,0.6730769230769231,0.4003496503496504
50,9,0,0.18,0.8888888888888888,0.9411764705882353,0.05228758169934644
179,37,0,0.20670391061452514,0.782608695652174,0.782608695652174,0.0
81,19,0,0.2345679012345679,0.8571428571428571,0.9230769230769231,0.06593406593406603
55,15,0,0.2727272727272727,0.9333333333333333,0.967741935483871,0.03440860215053765
49,14,0,0.2857142857142857,0.923076923076923,0.962962962962963,0.03988603988604
72,20,0,0.2777777777777778,0.75,0.8292682926829269,0.0792682926829269
101,27,13,0.26732673267326734,0.4067796610169491,0.6296296296296297,0.22284996861268053
75,16,0,0.21333333333333335,0.6666666666666667,0.8648648648648648,0.19819819819819806
91,28,0,0.3076923076923077,0.6984126984126985,0.8421052631578947,0.1436925647451962
98,29,0,0.29591836734693877,0.5714285714285715,0.9180327868852458,0.3466042154566743
126,34,21,0.2698412698412698,0.4266666666666667,0.6027397260273972,0.17607305936073053
56,15,0,0.26785714285714285,0.18750000000000003,0.7142857142857142,0.5267857142857142
76,19,0,0.25,0.8085106382978724,0.9268292682926829,0.11831862999481046
109,43,11,0.3944954128440367,0.9555555555555556,0.9555555555555556,0.0
68,19,10,0.27941176470588236,0.6500000000000001,0.8717948717948718,0.22179487179487167
203,30,12,0.1477832512315271,0.36170212765957444,0.4893617021276596,0.12765957446808518
207,29,13,0.14009661835748793,0.4742268041237113,0.4742268041237113,0.0
59,19,0,0.3220338983050847,0.24390243902439024,0.9230769230769231,0.6791744840525329
319,56,17,0.1755485893416928,0.24539877300613497,0.3,0.05460122699386502
334,18,0,0.05389221556886228,0.28318584070796454,0.39080459770114945,0.1076187569931849
77,18,0,0.23376623376623376,0.8372093023255813,0.923076923076923,0.08586762075134169
363,37,15,0.10192837465564739,0.3088235294117647,0.43333333333333335,0.12450980392156863
76,13,1,0.17105263157894737,0.45,0.7096774193548387,0.25967741935483873
75,11,0,0.14666666666666667,0.25,0.5454545454545455,0.2954545454545455
75,22,5,0.29333333333333333,0.9767441860465117,0.9767441860465117,0.0
63,18,5,0.2857142857142857,0.7368421052631577,0.9444444444444444,0.20760233918128668
76,15,0,0.19736842105263158,0.6976744186046512,0.8108108108108109,0.11313639220615967
77,21,5,0.2727272727272727,0.6808510638297872,0.7111111111111111,0.03026004728132392
75,21,4,0.28,0.7441860465116279,0.975609756097561,0.23142370958593306
75,20,3,0.26666666666666666,0.8000000000000002,0.8292682926829269,0.029268292682926744
76,21,4,0.27631578947368424,0.8510638297872339,0.9523809523809523,0.10131712259371839
52,20,2,0.38461538461538464,0.5714285714285715,0.9189189189189189,0.34749034749034735
76,20,0,0.2631578947368421,0.7999999999999999,0.9268292682926829,0.12682926829268293
68,27,0,0.39705882352941174,0.6415094339622641,0.9811320754716981,0.339622641509434
119,40,25,0.33613445378151263,0.275,0.39506172839506176,0.12006172839506174
77,22,5,0.2857142857142857,0.9130434782608695,0.9767441860465117,0.06370070778564219
98,29,3,0.29591836734693877,0.8125,0.9666666666666666,0.15416666666666656
77,22,5,0.2857142857142857,0.8936170212765958,0.9767441860465117,0.08312716476991588
31,12,0,0.3870967741935484,1.0,1.0,0.0
78,27,0,0.34615384615384615,0.9056603773584906,0.9433962264150944,0.037735849056603765
